"","Date","Site","Runoff..m3.ha.","TP.conc","TP.load","SRP.conc","SRP.load","Drainage.Area..ha.","Event.Volume..m3."
"132",2021-07-19,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"133",2021-07-19,"DCN-SUB",NA,262.066811887623,20.738,0,2.999,NA,5.999
"134",2021-07-21,"DCS-SUB",NA,398.128050053246,41.919,129.904383635707,13.315,NA,8.22
"135",2021-07-21,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"136",2021-07-21,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"137",2021-07-21,"DCN-SUB",NA,358.019063124301,48.904,118.220249844833,15.501,NA,11.085
"138",2021-07-31,"DCS-SUB",9.875,312,3.1,62.2,0.6,8,79
"139",2021-07-31,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"140",2021-07-31,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"141",2021-07-31,"DCN-SUB",13.6326530612245,251,3.5,84.7,1.2,4.9,66.8
"142",2021-08-02,"DCS-SUB",112.3125,598,67.2,105,11.8,8,898.5
"143",2021-08-02,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"144",2021-08-02,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"145",2021-08-02,"DCN-SUB",151.612244897959,831,127.3,152,23.3,4.9,742.9
"146",2021-08-20,"DCS-SUB",141.1125,348,49.1,92.6,13.1,8,1128.9
"147",2021-08-20,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"148",2021-08-20,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"149",2021-08-20,"DCN-SUB",173.428571428571,456,79.9,66,11.6,4.9,849.8
"150",2021-09-09,"DCS-SUB",24.7875,345,8.6,45.9,1.1,8,198.3
"151",2021-09-09,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"152",2021-09-09,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"153",2021-09-09,"DCN-SUB",24.0408163265306,240,5.8,50.5,1.2,4.9,117.8
"154",2021-09-24,"DCS-SUB",13.3875,648,8.7,66.2,0.9,8,107.1
"155",2021-09-24,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"156",2021-09-24,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"157",2021-09-24,"DCN-SUB",16.0816326530612,949,15.4,167,2.7,4.9,78.8
"158",2021-10-17,"DCS-SUB",45.3375,NA,NA,264,12,8,362.7
"159",2021-10-17,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"160",2021-10-17,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"161",2021-10-17,"DCN-SUB",49.530612244898,NA,NA,412,20.6,4.9,242.7
